goal,dimension,region_id,score,year
ECO,pressures,5,20.18,2012
ECO,pressures,6,20.18,2012
ECO,pressures,7,20.18,2012
ECO,pressures,8,20.18,2012
ECO,pressures,9,20.18,2012
ECO,resilience,1,80.52,2012
ECO,resilience,2,80.52,2012
ECO,resilience,3,80.52,2012
ECO,resilience,4,80.52,2012
ECO,resilience,5,80.52,2012
ECO,resilience,6,80.52,2012
ECO,resilience,7,80.52,2012
ECO,resilience,8,80.52,2012
ECO,resilience,9,80.52,2012
ECO,score,0,86.11,2012
ECO,score,1,,2012
ECO,score,2,,2012
ECO,score,3,,2012
ECO,score,4,,2012
ECO,score,5,100,2012
ECO,score,6,100,2012
ECO,score,7,100,2012
ECO,score,8,30.57,2012
ECO,score,9,100,2012
ECO,status,0,87.98,2012
ECO,status,1,,2012
ECO,status,2,,2012
ECO,status,3,,2012
ECO,status,4,,2012
ECO,status,5,100,2012
ECO,status,6,100,2012
ECO,status,7,100,2012
ECO,status,8,39.91,2012
ECO,status,9,100,2012
ECO,trend,1,,2012
ECO,trend,2,,2012
ECO,trend,3,,2012
ECO,trend,4,,2012
ECO,trend,5,-0.03,2012
ECO,trend,6,0.55,2012
ECO,trend,7,0.2,2012
ECO,trend,8,-1,2012
ECO,trend,9,1,2012
FIS,future,0,63.79,2012
FIS,future,1,63.79,2012
FIS,future,2,63.79,2012
FIS,future,3,63.79,2012
FIS,future,4,63.79,2012
FIS,future,5,63.79,2012
FIS,future,6,63.79,2012
FIS,future,7,63.79,2012
FIS,future,8,63.79,2012
FIS,future,9,63.79,2012
FIS,pressures,1,25.12,2012
FIS,pressures,2,25.12,2012
FIS,pressures,3,25.12,2012
FIS,pressures,4,25.12,2012
FIS,pressures,5,25.12,2012
FIS,pressures,6,25.12,2012
FIS,pressures,7,25.12,2012
FIS,pressures,8,25.12,2012
FIS,pressures,9,25.12,2012
FIS,resilience,1,75.98,2012
FIS,resilience,2,75.98,2012
FIS,resilience,3,75.98,2012
FIS,resilience,4,75.98,2012
FIS,resilience,5,75.98,2012
FIS,resilience,6,75.98,2012
FIS,resilience,7,75.98,2012
FIS,resilience,8,75.98,2012
FIS,resilience,9,75.98,2012
FIS,score,0,59.79,2012
FIS,score,1,59.79,2012
FIS,score,2,59.79,2012
FIS,score,3,59.79,2012
FIS,score,4,59.79,2012
FIS,score,5,59.79,2012
FIS,score,6,59.79,2012
FIS,score,7,59.79,2012
FIS,score,8,59.79,2012
FIS,score,9,59.79,2012
FIS,status,0,55.8,2012
FIS,status,1,55.8,2012
FIS,status,2,55.8,2012
FIS,status,3,55.8,2012
FIS,status,4,55.8,2012
FIS,status,5,55.8,2012
FIS,status,6,55.8,2012
FIS,status,7,55.8,2012
FIS,status,8,55.8,2012
FIS,status,9,55.8,2012
FIS,trend,1,-0.04,2012
FIS,trend,2,-0.04,2012
FIS,trend,3,-0.04,2012
FIS,trend,4,-0.04,2012
FIS,trend,5,-0.04,2012
FIS,trend,6,-0.04,2012
FIS,trend,7,-0.04,2012
FIS,trend,8,-0.04,2012
FIS,trend,9,-0.04,2012
FP,future,0,64.93,2012
FP,future,1,64.93,2012
FP,future,2,64.93,2012
FP,future,3,64.93,2012
FP,future,4,64.93,2012
FP,future,5,64.93,2012
FP,future,6,64.93,2012
FP,future,7,64.93,2012
FP,future,8,64.93,2012
FP,future,9,64.93,2012
FP,pressures,1,,2012
FP,pressures,2,,2012
FP,pressures,3,,2012
FP,pressures,4,,2012
FP,pressures,5,,2012
FP,pressures,6,,2012
FP,pressures,7,,2012
FP,pressures,8,,2012
FP,pressures,9,,2012
FP,resilience,1,,2012
FP,resilience,2,,2012
FP,resilience,3,,2012
FP,resilience,4,,2012
FP,resilience,5,,2012
FP,resilience,6,,2012
FP,resilience,7,,2012
FP,resilience,8,,2012
FP,resilience,9,,2012
FP,score,0,60.92,2012
FP,score,1,60.92,2012
FP,score,2,60.92,2012
FP,score,3,60.92,2012
FP,score,4,60.92,2012
FP,score,5,60.92,2012
FP,score,6,60.92,2012
FP,score,7,60.92,2012
FP,score,8,60.92,2012
FP,score,9,60.92,2012
FP,status,0,56.91,2012
FP,status,1,56.91,2012
FP,status,2,56.91,2012
FP,status,3,56.91,2012
FP,status,4,56.91,2012
FP,status,5,56.91,2012
FP,status,6,56.91,2012
FP,status,7,56.91,2012
FP,status,8,56.91,2012
FP,status,9,56.91,2012
FP,trend,1,-0.04,2012
FP,trend,2,-0.04,2012
FP,trend,3,-0.04,2012
FP,trend,4,-0.04,2012
FP,trend,5,-0.04,2012
FP,trend,6,-0.04,2012
FP,trend,7,-0.04,2012
FP,trend,8,-0.04,2012
FP,trend,9,-0.04,2012
HAB,future,0,76.12,2012
HAB,future,1,76.12,2012
HAB,future,2,76.12,2012
HAB,future,3,76.12,2012
HAB,future,4,76.12,2012
HAB,future,5,76.12,2012
HAB,future,6,76.12,2012
HAB,future,7,76.12,2012
HAB,future,8,76.12,2012
HAB,future,9,76.12,2012
HAB,pressures,1,25.33,2012
HAB,pressures,2,25.33,2012
HAB,pressures,3,25.33,2012
HAB,pressures,4,25.33,2012
HAB,pressures,5,25.33,2012
HAB,pressures,6,25.33,2012
HAB,pressures,7,25.33,2012
HAB,pressures,8,25.33,2012
HAB,pressures,9,25.33,2012
HAB,resilience,1,72.25,2012
HAB,resilience,2,72.25,2012
HAB,resilience,3,72.25,2012
HAB,resilience,4,72.25,2012
HAB,resilience,5,72.25,2012
HAB,resilience,6,72.25,2012
HAB,resilience,7,72.25,2012
HAB,resilience,8,72.25,2012
HAB,resilience,9,72.25,2012
HAB,score,0,76.33,2012
HAB,score,1,76.33,2012
HAB,score,2,76.33,2012
HAB,score,3,76.33,2012
HAB,score,4,76.33,2012
HAB,score,5,76.33,2012
HAB,score,6,76.33,2012
HAB,score,7,76.33,2012
HAB,score,8,76.33,2012
HAB,score,9,76.33,2012
HAB,status,0,76.53,2012
HAB,status,1,76.53,2012
HAB,status,2,76.53,2012
HAB,status,3,76.53,2012
HAB,status,4,76.53,2012
HAB,status,5,76.53,2012
HAB,status,6,76.53,2012
HAB,status,7,76.53,2012
HAB,status,8,76.53,2012
HAB,status,9,76.53,2012
HAB,trend,1,-0.24,2012
HAB,trend,2,-0.24,2012
HAB,trend,3,-0.24,2012
HAB,trend,4,-0.24,2012
HAB,trend,5,-0.24,2012
HAB,trend,6,-0.24,2012
HAB,trend,7,-0.24,2012
HAB,trend,8,-0.24,2012
HAB,trend,9,-0.24,2012
ICO,future,0,75.3,2012
ICO,future,1,75.3,2012
ICO,future,2,75.3,2012
ICO,future,3,75.3,2012
ICO,future,4,75.3,2012
ICO,future,5,75.3,2012
ICO,future,6,75.3,2012
ICO,future,7,75.3,2012
ICO,future,8,75.3,2012
ICO,future,9,75.3,2012
ICO,pressures,1,30.02,2012
ICO,pressures,2,30.02,2012
ICO,pressures,3,30.02,2012
ICO,pressures,4,30.02,2012
ICO,pressures,5,30.02,2012
ICO,pressures,6,30.02,2012
ICO,pressures,7,30.02,2012
ICO,pressures,8,30.02,2012
ICO,pressures,9,30.02,2012
ICO,resilience,1,73.95,2012
ICO,resilience,2,73.95,2012
ICO,resilience,3,73.95,2012
ICO,resilience,4,73.95,2012
ICO,resilience,5,73.95,2012
ICO,resilience,6,73.95,2012
ICO,resilience,7,73.95,2012
ICO,resilience,8,73.95,2012
ICO,resilience,9,73.95,2012
ICO,score,0,69.85,2012
ICO,score,1,69.85,2012
ICO,score,2,69.85,2012
ICO,score,3,69.85,2012
ICO,score,4,69.85,2012
ICO,score,5,69.85,2012
ICO,score,6,69.85,2012
ICO,score,7,69.85,2012
ICO,score,8,69.85,2012
ICO,score,9,69.85,2012
ICO,status,0,64.39,2012
ICO,status,1,64.39,2012
ICO,status,2,64.39,2012
ICO,status,3,64.39,2012
ICO,status,4,64.39,2012
ICO,status,5,64.39,2012
ICO,status,6,64.39,2012
ICO,status,7,64.39,2012
ICO,status,8,64.39,2012
ICO,status,9,64.39,2012
ICO,trend,1,0.04,2012
ICO,trend,2,0.04,2012
ICO,trend,3,0.04,2012
ICO,trend,4,0.04,2012
ICO,trend,5,0.04,2012
ICO,trend,6,0.04,2012
ICO,trend,7,0.04,2012
ICO,trend,8,0.04,2012
ICO,trend,9,0.04,2012
Index,future,0,77.01,2012
Index,future,1,75.03,2012
Index,future,2,75.03,2012
Index,future,3,75.03,2012
Index,future,4,75.03,2012
Index,future,5,80.02,2012
Index,future,6,80.02,2012
Index,future,7,80.02,2012
Index,future,8,72.93,2012
Index,future,9,80.02,2012
Index,score,0,75.12,2012
Index,score,1,72.87,2012
Index,score,2,72.87,2012
Index,score,3,72.87,2012
Index,score,4,72.87,2012
Index,score,5,78.12,2012
Index,score,6,78.12,2012
Index,score,7,78.28,2012
Index,score,8,71.92,2012
Index,score,9,78.15,2012
LE,future,0,85.81,2012
LE,future,1,NaN,2012
LE,future,2,NaN,2012
LE,future,3,NaN,2012
LE,future,4,NaN,2012
LE,future,5,100,2012
LE,future,6,100,2012
LE,future,7,100,2012
LE,future,8,29.04,2012
LE,future,9,100,2012
LE,pressures,1,,2012
LE,pressures,2,,2012
LE,pressures,3,,2012
LE,pressures,4,,2012
LE,pressures,5,,2012
LE,pressures,6,,2012
LE,pressures,7,,2012
LE,pressures,8,,2012
LE,pressures,9,,2012
LE,resilience,1,,2012
LE,resilience,2,,2012
