State,County,Beach Name,rgn_id,,,,,,
MA,PLYMOUTH,Swift's,5,,,,,,
MA,PLYMOUTH,Swift's Neck,5,,,,,,
MA,PLYMOUTH,Tabor Academy,5,,,,,,
MA,PLYMOUTH,West End,4,,,,,,
MA,PLYMOUTH,White Horse - Full Sail,4,,,,,,
MA,PLYMOUTH,White Horse - Hill Top,4,,,,,,
MA,PLYMOUTH,XYZ,4,,,,,,
MA,BARNSTABLE,333 Commercial Street,4,,,,,,
MA,BARNSTABLE,451 Commercial Street,4,,,,,,
MA,BARNSTABLE,593 Commercial Street,4,,,,,,
MA,BARNSTABLE,637 Commercial Street,4,,,,,,
MA,BARNSTABLE,Andrew Harding Lane Beach,5,,,,,,
MA,BARNSTABLE,Atkins Lane,4,,,,,,
MA,BARNSTABLE,Atlantic Avenue,5,,,,,,
MA,BARNSTABLE,Barlows Landing,5,,,,,,
MA,BARNSTABLE,Bass River East,5,,,,,,
MA,BARNSTABLE,Baxter Avenue,5,,,,,,
MA,BARNSTABLE,Bay Road,5,,,,,,
MA,BARNSTABLE,Bayview,4,,,,,,
MA,BARNSTABLE,Bayview Street,5,,,,,,
MA,BARNSTABLE,Beach Point Landing,4,,,,,,
MA,BARNSTABLE,Bikepath Beach (Trunk River) - East,5,,,,,,
MA,BARNSTABLE,Bikepath Beach (Trunk River) - West,5,,,,,,
MA,BARNSTABLE,Boat Meadow,4,,,,,,
MA,BARNSTABLE,Breakwater Landing,4,,,,,,
MA,BARNSTABLE,Bristol - East,5,,,,,,
MA,BARNSTABLE,Bristol - West,5,,,,,,
MA,BARNSTABLE,Bucks Creek,5,,,,,,
MA,BARNSTABLE,Burton Baker,4,,,,,,
MA,BARNSTABLE,Cahoon Hollow,4,,,,,,
MA,BARNSTABLE,Campground,4,,,,,,
MA,BARNSTABLE,Cataumet Harbor,5,,,,,,
MA,BARNSTABLE,Chapin Memorial,4,,,,,,
MA,BARNSTABLE,Chapoquoit,5,,,,,,
MA,BARNSTABLE,Chatham Bars Inn,5,,,,,,
MA,BARNSTABLE,Clipper Lane,5,,,,,,
MA,BARNSTABLE,Cockle Cove,5,,,,,,
MA,BARNSTABLE,Cold Storage,4,,,,,,
MA,BARNSTABLE,Cold Storage/Pond Village,4,,,,,,
MA,BARNSTABLE,Cole Road,4,,,,,,
MA,BARNSTABLE,Colonial Acres East,5,,,,,,
MA,BARNSTABLE,Colonial Acres West,5,,,,,,
MA,BARNSTABLE,Columbus Avenue,5,,,,,,
MA,BARNSTABLE,Cook's Brook,4,,,,,,
MA,BARNSTABLE,Corporation,4,,,,,,
MA,BARNSTABLE,Court Street,4,,,,,,
MA,BARNSTABLE,Covell's,5,,,,,,
MA,BARNSTABLE,Craigville,5,,,,,,
MA,BARNSTABLE,Crosby Landing,4,,,,,,
MA,BARNSTABLE,Cross Street,5,,,,,,
MA,BARNSTABLE,Dowses,5,,,,,,
MA,BARNSTABLE,Dyer Prince,4,,,,,,
MA,BARNSTABLE,Earle Road,5,,,,,,
MA,BARNSTABLE,East Sandwich,4,,,,,,
MA,BARNSTABLE,Ellis Landing,4,,,,,,
MA,BARNSTABLE,Eugenia Fortes,5,,,,,,
MA,BARNSTABLE,Falmouth Heights East,5,,,,,,
MA,BARNSTABLE,Falmouth Heights West,5,,,,,,
MA,BARNSTABLE,First Encounter - Spit River,4,,,,,,
MA,BARNSTABLE,First Encounter Beach,4,,,,,,
MA,BARNSTABLE,Follins Pond,5,,,,,,
MA,BARNSTABLE,Forest Street Beach,5,,,,,,
MA,BARNSTABLE,Gilder Road Beach,5,,,,,,
MA,BARNSTABLE,Glendon Road - East,5,,,,,,
MA,BARNSTABLE,Glendon Road - West,5,,,,,,
MA,BARNSTABLE,Gray's Beach,4,,,,,,
MA,BARNSTABLE,Haigis,5,,,,,,
MA,BARNSTABLE,Harborview,4,,,,,,
MA,BARNSTABLE,Hardings East,5,,,,,,
MA,BARNSTABLE,Hardings West,5,,,,,,
MA,BARNSTABLE,Howes Street,4,,,,,,
MA,BARNSTABLE,Inman Road,5,,,,,,
MA,BARNSTABLE,Johnson Street,4,,,,,,
MA,BARNSTABLE,Kalmus Ocean,5,,,,,,
MA,BARNSTABLE,Kalmus Yacht,5,,,,,,
MA,BARNSTABLE,Kendal Lane,4,,,,,,
MA,BARNSTABLE,Kennedy Memorial/Veterans Beach,5,,,,,,
MA,BARNSTABLE,Keyes Beach,5,,,,,,
MA,BARNSTABLE,Kingsbury,4,,,,,,
MA,BARNSTABLE,Lighthouse,5,,,,,,
MA,BARNSTABLE,Linnell Landing,4,,,,,,
MA,BARNSTABLE,Loops,5,,,,,,
MA,BARNSTABLE,Malfa Road,5,,,,,,
MA,BARNSTABLE,Mants,4,,,,,,
MA,BARNSTABLE,Mashpee Neck Road (Town Landing),5,,,,,,
MA,BARNSTABLE,Mayflower,4,,,,,,
MA,BARNSTABLE,Mayo,4,,,,,,
MA,BARNSTABLE,Meeting House Pond,4,,,,,,
MA,BARNSTABLE,Mill Creek,5,,,,,,
MA,BARNSTABLE,Millway,4,,,,,,
MA,BARNSTABLE,Nauset,5,,,,,,
MA,BARNSTABLE,Noon's Landing,4,,,,,,
MA,BARNSTABLE,Old Silver (Public) - North,5,,,,,,
MA,BARNSTABLE,Old Silver (Public) - South,5,,,,,,
MA,BARNSTABLE,Paines Creek,4,,,,,,
MA,BARNSTABLE,Pamet Harbor,4,,,,,,
MA,BARNSTABLE,Parkers River East,5,,,,,,
MA,BARNSTABLE,Parkers River West,5,,,,,,
MA,BARNSTABLE,Patuisset Beach,5,,,,,,
MA,BARNSTABLE,Pleasant Bay,5,,,,,,
MA,BARNSTABLE,Pleasant Street,5,,,,,,
MA,BARNSTABLE,Point of Rocks,4,,,,,,
MA,BARNSTABLE,Provincetown Inn East,4,,,,,,
MA,BARNSTABLE,Provincetown Inn Rotary,4,,,,,,
MA,BARNSTABLE,Raycroft,5,,,,,,
MA,BARNSTABLE,Red River East,5,,,,,,
MA,BARNSTABLE,Red River Middle,5,,,,,,
MA,BARNSTABLE,Red River West,5,,,,,,
MA,BARNSTABLE,Ridgevale,5,,,,,,
MA,BARNSTABLE,Ropes,5,,,,,,
MA,BARNSTABLE,Ryder Street,4,,,,,,
MA,BARNSTABLE,S. Sunken Meadow,4,,,,,,
MA,BARNSTABLE,Sagamore,4,,,,,,
MA,BARNSTABLE,Saints Landing,4,,,,,,
MA,BARNSTABLE,Salt Pond,4,,,,,,
MA,BARNSTABLE,Sandy Neck,4,,,,,,
MA,BARNSTABLE,Scusset (DCR),4,,,,,,
MA,BARNSTABLE,Sea Street (East Dennis),5,,,,,,
MA,BARNSTABLE,Seagull (Center),5,,,,,,
MA,BARNSTABLE,Seagull (Left),5,,,,,,
MA,BARNSTABLE,Seagull (Right),5,,,,,,
MA,BARNSTABLE,Seaview Ave. Beach,5,,,,,,
MA,BARNSTABLE,Skaket Beach,4,,,,,,
MA,BARNSTABLE,South Cape Beach (DCR),5,,,,,,
MA,BARNSTABLE,South Village,5,,,,,,
MA,BARNSTABLE,Stoney Beach (MBL),5,,,,,,
MA,BARNSTABLE,Sullivan (Depot St.),5,,,,,,
MA,BARNSTABLE,Sunset Beach Association,4,,,,,,
MA,BARNSTABLE,Surf Drive - East,5,,,,,,
MA,BARNSTABLE,Surf Drive - Pool,5,,,,,,
MA,BARNSTABLE,Surf Drive - West,5,,,,,,
MA,BARNSTABLE,Thumpertown,4,,,,,,
MA,BARNSTABLE,Town Cove,4,,,,,,
MA,BARNSTABLE,Town Landing - Breakwater,5,,,,,,
MA,BARNSTABLE,Town Landing - Snail Road,5,,,,,,
MA,BARNSTABLE,Town Landing West of Coast Guard,5,,,,,,
MA,BARNSTABLE,Town Neck (Hemispheres),4,,,,,,
MA,BARNSTABLE,Town Neck Beach,4,,,,,,
MA,BARNSTABLE,Trotting Park,5,,,,,,
MA,BARNSTABLE,Vernon St.,5,,,,,,
MA,BARNSTABLE,Wequasett Inn Resort,5,,,,,,
MA,BARNSTABLE,West Dennis - Residential,5,,,,,,
MA,BARNSTABLE,West Dennis - West,5,,,,,,
MA,BARNSTABLE,West End Lot,4,,,,,,
MA,BARNSTABLE,Winston Ave,4,,,,,,
MA,BARNSTABLE,Wood Neck Beach,5,,,,,,
MA,BARNSTABLE,Wood Neck River,5,,,,,,
MA,BARNSTABLE,Zylpha Road Beach,5,,,,,,
