"","rgn_name","rgn_id","year","score"
"45","Massachusetts-Gulf of Maine",4,1986,0.37012987012987
"46","Massachusetts-Gulf of Maine",4,1987,0.265151515151515
"47","Massachusetts-Gulf of Maine",4,1988,0.210227272727273
"48","Massachusetts-Gulf of Maine",4,1989,0.214785214785215
"49","Massachusetts-Gulf of Maine",4,1990,0.165584415584416
"50","Massachusetts-Gulf of Maine",4,1991,0.135642135642136
"51","Massachusetts-Gulf of Maine",4,1992,0.0795454545454545
"52","Massachusetts-Gulf of Maine",4,1993,0.188636363636364
"53","Massachusetts-Gulf of Maine",4,1994,0.1
"54","Massachusetts-Gulf of Maine",4,1995,0.105
"55","Massachusetts-Gulf of Maine",4,1997,0.181818181818182
"56","Massachusetts-Gulf of Maine",4,1999,0.0818181818181818
"57","Massachusetts-Gulf of Maine",4,2001,0.0863636363636364
"58","Massachusetts-Gulf of Maine",4,2003,0.0818181818181818
"59","Massachusetts-Gulf of Maine",4,2004,0.199300699300699
"60","Massachusetts-Gulf of Maine",4,2005,0.0909090909090909
"61","Massachusetts-Gulf of Maine",4,2007,0.121212121212121
"62","Massachusetts-Gulf of Maine",4,2009,0
"63","Massachusetts-Gulf of Maine",4,2011,0.0909090909090909
"64","Massachusetts-Virginian",5,1984,0.272727272727273
"65","Massachusetts-Virginian",5,1985,0.272727272727273
"66","Massachusetts-Virginian",5,1986,0.261363636363636
"67","Massachusetts-Virginian",5,1987,0.257575757575758
"68","Massachusetts-Virginian",5,1988,0.172727272727273
"69","Massachusetts-Virginian",5,1989,0.172727272727273
"70","Massachusetts-Virginian",5,1990,0.130952380952381
"71","Massachusetts-Virginian",5,1991,0.0954545454545455
"72","Massachusetts-Virginian",5,1992,0.0909090909090909
"73","Massachusetts-Virginian",5,1993,0.136363636363636
"74","Massachusetts-Virginian",5,1994,0.0833333333333333
"75","Massachusetts-Virginian",5,1996,0.175324675324675
"76","Massachusetts-Virginian",5,1998,0.0909090909090909
"77","Massachusetts-Virginian",5,2000,0.0681818181818182
"78","Massachusetts-Virginian",5,2002,0.0984848484848485
"79","Massachusetts-Virginian",5,2003,0.272727272727273
"80","Massachusetts-Virginian",5,2004,0.136363636363636
"81","Massachusetts-Virginian",5,2005,0
"82","Massachusetts-Virginian",5,2006,0.0681818181818182
"83","Massachusetts-Virginian",5,2007,0.143939393939394
"84","Massachusetts-Virginian",5,2008,0.0454545454545455
"85","Massachusetts-Virginian",5,2009,0
"86","Massachusetts-Virginian",5,2010,0.0757575757575758
"87","Massachusetts-Virginian",5,2011,0.0909090909090909
"88","Massachusetts-Virginian",5,2012,0.0681818181818182
"89","New Hampshire",6,1997,0.227272727272727
"90","New Hampshire",6,1999,0.0909090909090909
"91","New Hampshire",6,2001,0.0909090909090909
"92","New Hampshire",6,2003,0.0909090909090909
"93","New Hampshire",6,2005,0.0909090909090909
"94","New Hampshire",6,2007,0.0909090909090909
"95","New Hampshire",6,2009,0
"96","New Hampshire",6,2011,0.0909090909090909
"97","New York",2,1984,0.272727272727273
"98","New York",2,1985,0.272727272727273
"99","New York",2,1986,0.301652892561983
"100","New York",2,1987,0.26969696969697
"101","New York",2,1988,0.161157024793388
"102","New York",2,1989,0.230769230769231
"103","New York",2,1990,0.15034965034965
"104","New York",2,1991,0.26216514676546
"105","New York",2,1992,0.0772727272727273
"106","New York",2,1993,0.12396694214876
"107","New York",2,1994,0.0909090909090909
"108","New York",2,1995,0.148148148148148
"109","New York",2,1996,0.172727272727273
"110","New York",2,1997,0.196969696969697
"111","New York",2,1998,0.0954545454545454
"112","New York",2,1999,0.121212121212121
"113","New York",2,2000,0.0795454545454545
"114","New York",2,2001,0.0757575757575758
"115","New York",2,2002,0.138157894736842
"116","New York",2,2003,0.0606060606060606
"117","New York",2,2004,0.181818181818182
"118","New York",2,2005,0.106060606060606
"119","New York",2,2006,0.104545454545455
"120","New York",2,2007,0.0757575757575758
"121","New York",2,2008,0.0858585858585859
"122","New York",2,2009,0
"123","New York",2,2010,0.0707070707070707
"124","New York",2,2011,0.102272727272727
"125","New York",2,2012,0.0909090909090909
"126","Rhode Island",1,1984,0.363636363636364
"127","Rhode Island",1,1985,0.318181818181818
"128","Rhode Island",1,1986,0.227272727272727
"129","Rhode Island",1,1987,0.181818181818182
"130","Rhode Island",1,1988,0.166666666666667
"131","Rhode Island",1,1989,0.113636363636364
"132","Rhode Island",1,1990,0.0984848484848485
"133","Rhode Island",1,1991,0.0909090909090909
"134","Rhode Island",1,1992,0.0757575757575758
"135","Rhode Island",1,1993,0.0795454545454545
"136","Rhode Island",1,1994,0.0909090909090909
"137","Rhode Island",1,1995,0.1
"138","Rhode Island",1,1996,0.0606060606060606
"139","Rhode Island",1,1997,0.154545454545455
"140","Rhode Island",1,1999,0.0909090909090909
"141","Rhode Island",1,2001,0.0795454545454545
"142","Rhode Island",1,2003,0.0909090909090909
"143","Rhode Island",1,2005,0.0681818181818182
"144","Rhode Island",1,2007,0.147727272727273
"145","Rhode Island",1,2009,0
"146","Rhode Island",1,2011,0.0454545454545455
