rgn_id,count,year
3,231664e3,1982
3,233792e3,1983
3,235825e3,1984
3,237924e3,1985
3,240133e3,1986
3,242289e3,1987
3,244499e3,1988
3,246819e3,1989
3,249623e3,1990
3,252981e3,1991
3,256514e3,1992
3,259919e3,1993
3,263126e3,1994
3,266278e3,1995
3,269394e3,1996
3,272657e3,1997
3,275854e3,1998
3,27904e4,1999
3,282162411,2000
3,284968955,2001
3,287625193,2002
3,290107933,2003
3,292805298,2004
3,295516599,2005
3,298379912,2006
3,301231207,2007
3,304093966,2008
3,306771529,2009
3,309326225,2010
3,311587816,2011
3,313914040,2012
4,180671e3,1960
4,183691e3,1961
4,186538e3,1962
4,189242e3,1963
4,191889e3,1964
4,194303e3,1965
4,19656e4,1966
4,198712e3,1967
4,200706e3,1968
4,202677e3,1969
4,205052e3,1970
4,207661e3,1971
4,209896e3,1972
4,211909e3,1973
4,213854e3,1974
4,215973e3,1975
4,218035e3,1976
4,220239e3,1977
4,222585e3,1978
4,225055e3,1979
4,227225e3,1980
4,229466e3,1981
4,231664e3,1982
4,233792e3,1983
4,235825e3,1984
4,237924e3,1985
4,240133e3,1986
4,242289e3,1987
4,244499e3,1988
4,246819e3,1989
4,249623e3,1990
4,252981e3,1991
4,256514e3,1992
4,259919e3,1993
4,263126e3,1994
4,266278e3,1995
4,269394e3,1996
4,272657e3,1997
4,275854e3,1998
4,27904e4,1999
4,282162411,2000
4,284968955,2001
4,287625193,2002
4,290107933,2003
4,292805298,2004
4,295516599,2005
4,298379912,2006
4,301231207,2007
4,304093966,2008
4,306771529,2009
4,309326225,2010
4,311587816,2011
4,313914040,2012
5,180671e3,1960
5,183691e3,1961
5,186538e3,1962
5,189242e3,1963
5,191889e3,1964
5,194303e3,1965
5,19656e4,1966
5,198712e3,1967
5,200706e3,1968
5,202677e3,1969
5,205052e3,1970
5,207661e3,1971
5,209896e3,1972
5,211909e3,1973
5,213854e3,1974
5,215973e3,1975
5,218035e3,1976
5,220239e3,1977
5,222585e3,1978
5,225055e3,1979
5,227225e3,1980
5,229466e3,1981
5,231664e3,1982
5,233792e3,1983
5,235825e3,1984
5,237924e3,1985
5,240133e3,1986
5,242289e3,1987
5,244499e3,1988
5,246819e3,1989
5,249623e3,1990
5,252981e3,1991
5,256514e3,1992
5,259919e3,1993
5,263126e3,1994
5,266278e3,1995
5,269394e3,1996
5,272657e3,1997
5,275854e3,1998
5,27904e4,1999
5,282162411,2000
5,284968955,2001
5,287625193,2002
5,290107933,2003
5,292805298,2004
5,295516599,2005
5,298379912,2006
5,301231207,2007
5,304093966,2008
5,306771529,2009
5,309326225,2010
5,311587816,2011
5,313914040,2012
6,180671e3,1960
6,183691e3,1961
6,186538e3,1962
6,189242e3,1963
6,191889e3,1964
6,194303e3,1965
6,19656e4,1966
6,198712e3,1967
6,200706e3,1968
6,202677e3,1969
6,205052e3,1970
6,207661e3,1971
6,209896e3,1972
6,211909e3,1973
6,213854e3,1974
6,215973e3,1975
6,218035e3,1976
6,220239e3,1977
6,222585e3,1978
6,225055e3,1979
6,227225e3,1980
6,229466e3,1981
6,231664e3,1982
6,233792e3,1983
6,235825e3,1984
6,237924e3,1985
6,240133e3,1986
6,242289e3,1987
6,244499e3,1988
6,246819e3,1989
6,249623e3,1990
6,252981e3,1991
6,256514e3,1992
6,259919e3,1993
6,263126e3,1994
6,266278e3,1995
6,269394e3,1996
6,272657e3,1997
6,275854e3,1998
6,27904e4,1999
6,282162411,2000
6,284968955,2001
6,287625193,2002
6,290107933,2003
6,292805298,2004
6,295516599,2005
6,298379912,2006
6,301231207,2007
6,304093966,2008
6,306771529,2009
6,309326225,2010
6,311587816,2011
6,313914040,2012
7,180671e3,1960
7,183691e3,1961
7,186538e3,1962
7,189242e3,1963
7,191889e3,1964
7,194303e3,1965
7,19656e4,1966
7,198712e3,1967
7,200706e3,1968
7,202677e3,1969
7,205052e3,1970
7,207661e3,1971
7,209896e3,1972
7,211909e3,1973
7,213854e3,1974
7,215973e3,1975
7,218035e3,1976
7,220239e3,1977
7,222585e3,1978
7,225055e3,1979
7,227225e3,1980
7,229466e3,1981
7,231664e3,1982
7,233792e3,1983
7,235825e3,1984
7,237924e3,1985
7,240133e3,1986
7,242289e3,1987
7,244499e3,1988
7,246819e3,1989
7,249623e3,1990
7,252981e3,1991
7,256514e3,1992
7,259919e3,1993
7,263126e3,1994
7,266278e3,1995
7,269394e3,1996
7,272657e3,1997
7,275854e3,1998
7,27904e4,1999
7,282162411,2000
7,284968955,2001
7,287625193,2002
7,290107933,2003
7,292805298,2004
7,295516599,2005
7,298379912,2006
7,301231207,2007
7,304093966,2008
7,306771529,2009
7,309326225,2010
7,311587816,2011
7,313914040,2012
8,180671e3,1960
8,183691e3,1961
8,186538e3,1962
8,189242e3,1963
8,191889e3,1964
8,194303e3,1965
8,19656e4,1966
8,198712e3,1967
8,200706e3,1968
8,202677e3,1969
8,205052e3,1970
8,207661e3,1971
8,209896e3,1972
8,211909e3,1973
8,213854e3,1974
8,215973e3,1975
8,218035e3,1976
8,220239e3,1977
8,222585e3,1978
8,225055e3,1979
8,227225e3,1980
8,229466e3,1981
8,231664e3,1982
8,233792e3,1983
8,235825e3,1984
8,237924e3,1985
8,240133e3,1986
8,242289e3,1987
8,244499e3,1988
8,246819e3,1989
8,249623e3,1990
8,252981e3,1991
8,256514e3,1992
8,259919e3,1993
8,263126e3,1994
8,266278e3,1995
8,269394e3,1996
8,272657e3,1997
8,275854e3,1998
8,27904e4,1999
8,282162411,2000
8,284968955,2001
8,287625193,2002
8,290107933,2003
8,292805298,2004
8,295516599,2005
8,298379912,2006
8,301231207,2007
8,304093966,2008
8,306771529,2009
8,309326225,2010
8,311587816,2011
8,313914040,2012
9,180671e3,1960
9,183691e3,1961
9,186538e3,1962
9,189242e3,1963
9,191889e3,1964
9,194303e3,1965
9,19656e4,1966
9,198712e3,1967
9,200706e3,1968
9,202677e3,1969
9,205052e3,1970
9,207661e3,1971
9,209896e3,1972
9,211909e3,1973
9,213854e3,1974
9,215973e3,1975
9,218035e3,1976
9,220239e3,1977
9,222585e3,1978
9,225055e3,1979
9,227225e3,1980
9,229466e3,1981
9,231664e3,1982
9,233792e3,1983
9,235825e3,1984
9,237924e3,1985
9,240133e3,1986
9,242289e3,1987
9,244499e3,1988
9,246819e3,1989
9,249623e3,1990
9,252981e3,1991
9,256514e3,1992
9,259919e3,1993
9,263126e3,1994
9,266278e3,1995
9,269394e3,1996
9,272657e3,1997
9,275854e3,1998
9,27904e4,1999
9,282162411,2000
9,284968955,2001
9,287625193,2002
9,290107933,2003
9,292805298,2004
9,295516599,2005
9,298379912,2006
9,301231207,2007
9,304093966,2008
9,306771529,2009
9,309326225,2010
9,311587816,2011
9,313914040,2012
