"","state","year","yr_avg_employed","rgn_id","rgn_name"
"136","Massachusetts",2009,3189010.25,4,"Massachusetts-Gulf of Maine"
"137","Massachusetts",2009,3189010.25,5,"Massachusetts-Virginian"
"138","New Hampshire",2009,697801.666666667,6,"New Hampshire"
"139","New York",2009,8844485.75,2,"New York"
"140","Rhode Island",2009,504951.25,1,"Rhode Island"
"141","Connecticut",2010,1737449.41666667,3,"Connecticut"
"142","Maine",2010,638629.583333333,7,"Maine"
"143","Massachusetts",2010,3190817.75,4,"Massachusetts-Gulf of Maine"
"144","Massachusetts",2010,3190817.75,5,"Massachusetts-Virginian"
"145","New Hampshire",2010,695134.75,6,"New Hampshire"
"146","New York",2010,8769723.25,2,"New York"
"147","Rhode Island",2010,503215.833333333,1,"Rhode Island"
"148","Connecticut",2011,1745966.5,3,"Connecticut"
"149","Maine",2011,644084.916666667,7,"Maine"
"150","Massachusetts",2011,3217754,4,"Massachusetts-Gulf of Maine"
"151","Massachusetts",2011,3217754,5,"Massachusetts-Virginian"
"152","New Hampshire",2011,696532.333333333,6,"New Hampshire"
"153","New York",2011,8728057.41666667,2,"New York"
"154","Rhode Island",2011,498247.916666667,1,"Rhode Island"
"155","Connecticut",2012,1729837.83333333,3,"Connecticut"
"156","Maine",2012,650116.833333333,7,"Maine"
"157","Massachusetts",2012,3252531.41666667,4,"Massachusetts-Gulf of Maine"
"158","Massachusetts",2012,3252531.41666667,5,"Massachusetts-Virginian"
"159","New Hampshire",2012,700371.166666667,6,"New Hampshire"
"160","New York",2012,8793384.58333333,2,"New York"
"161","Rhode Island",2012,500433.666666667,1,"Rhode Island"
"162","Connecticut",2013,1723928.75,3,"Connecticut"
"163","Maine",2013,660434.916666667,7,"Maine"
"164","Massachusetts",2013,3274880.25,4,"Massachusetts-Gulf of Maine"
"165","Massachusetts",2013,3274880.25,5,"Massachusetts-Virginian"
"166","New Hampshire",2013,704310,6,"New Hampshire"
"167","New York",2013,8881167.5,2,"New York"
"168","Rhode Island",2013,505605.083333333,1,"Rhode Island"
"169","Connecticut",2014,1759110.41666667,3,"Connecticut"
"170","Maine",2014,657352.083333333,7,"Maine"
"171","Massachusetts",2014,3349160.25,4,"Massachusetts-Gulf of Maine"
"172","Massachusetts",2014,3349160.25,5,"Massachusetts-Virginian"
"173","New Hampshire",2014,709324.75,6,"New Hampshire"
"174","New York",2014,8965437.08333333,2,"New York"
"175","Rhode Island",2014,512695.083333333,1,"Rhode Island"
"176","Connecticut",2015,1782269.08333333,3,"Connecticut"
"177","Maine",2015,652777.333333333,7,"Maine"
"178","Massachusetts",2015,3405825.33333333,4,"Massachusetts-Gulf of Maine"
"179","Massachusetts",2015,3405825.33333333,5,"Massachusetts-Virginian"
"180","New Hampshire",2015,717725.583333333,6,"New Hampshire"
"181","New York",2015,9084593.58333333,2,"New York"
"182","Rhode Island",2015,520421.75,1,"Rhode Island"
"183","Connecticut",2016,1795519.25,3,"Connecticut"
"184","Maine",2016,664009.833333333,7,"Maine"
"185","Massachusetts",2016,3455827.41666667,4,"Massachusetts-Gulf of Maine"
"186","Massachusetts",2016,3455827.41666667,5,"Massachusetts-Virginian"
"187","New Hampshire",2016,727420.333333333,6,"New Hampshire"
"188","New York",2016,9121323.41666667,2,"New York"
"189","Rhode Island",2016,522811.916666667,1,"Rhode Island"
