rgn_id,stock_id,year,bbmsy
1,Scomber_japonicus-77,2009,0.356467849362073
1,Scomber_japonicus-77,2010,0.376682164538321
1,Scomberomorus_cavalla-31,2001,2.185
1,Scomberomorus_cavalla-31,2002,2.22
1,Scomberomorus_cavalla-31,2003,2.35
1,Scomberomorus_cavalla-31,2004,2.51
1,Scomberomorus_cavalla-31,2005,2.71
1,Scomberomorus_cavalla-31,2006,2.99
1,Scomberomorus_cavalla-31,2007,3.15
1,Scomberomorus_cavalla-31,2008,3.2
1,Scomberomorus_cavalla-31,2009,3.26
1,Scomberomorus_cavalla-31,2010,3.24
1,Scomberomorus_maculatus-31,2001,1.015
1,Scomberomorus_maculatus-31,2002,1.02
1,Scomberomorus_maculatus-31,2003,1.065
1,Scomberomorus_maculatus-31,2004,1.14
1,Scomberomorus_maculatus-31,2005,1.22
1,Scomberomorus_maculatus-31,2006,1.315
1,Scomberomorus_maculatus-31,2007,1.335
1,Scomberomorus_maculatus-31,2008,1.435
1,Scomberomorus_maculatus-31,2009,1.53
1,Scomberomorus_maculatus-31,2010,1.515
1,Squalus_acanthias-21,2001,0.491555402928365
1,Squalus_acanthias-21,2002,0.468307055298168
1,Squalus_acanthias-21,2003,0.455970367374463
1,Squalus_acanthias-21,2004,0.451628994393248
1,Squalus_acanthias-21,2005,0.451043645081325
1,Squalus_acanthias-21,2006,0.450943684279835
1,Squalus_acanthias-21,2007,0.450348503376244
1,Squalus_acanthias-21,2008,0.44693786250293
1,Squalus_acanthias-21,2009,0.441819790719414
1,Squalus_acanthias-21,2010,0.434602370451785
1,Thunnus_alalunga-21,2001,0.42
1,Thunnus_alalunga-21,2002,0.55
1,Thunnus_alalunga-21,2003,0.68
1,Thunnus_alalunga-21,2004,0.73
1,Thunnus_alalunga-21,2005,0.73
1,Thunnus_alalunga-21,2006,0.65
1,Thunnus_alalunga-21,2007,0.63
1,Thunnus_alalunga-31,2001,0.42
1,Thunnus_alalunga-31,2002,0.55
1,Thunnus_alalunga-31,2003,0.68
1,Thunnus_alalunga-31,2004,0.73
1,Thunnus_alalunga-31,2005,0.73
1,Thunnus_alalunga-31,2006,0.65
1,Thunnus_alalunga-31,2007,0.63
1,Thunnus_alalunga-31,2008,0.710417780271106
1,Thunnus_alalunga-31,2009,0.675941509870369
1,Thunnus_alalunga-31,2010,0.641307261990351
1,Thunnus_alalunga-61,2001,1.35
1,Thunnus_alalunga-61,2002,1.3
1,Thunnus_alalunga-61,2003,1.22
1,Thunnus_alalunga-61,2004,1.25
1,Thunnus_alalunga-61,2005,1.26
1,Thunnus_alalunga-61,2006,1.21
1,Thunnus_alalunga-61,2007,1.19
1,Thunnus_alalunga-61,2008,1.16
1,Thunnus_alalunga-61,2009,1.18
1,Thunnus_alalunga-61,2010,0.473843265367172
1,Thunnus_alalunga-77,2001,1.47
1,Thunnus_alalunga-77,2002,1.5
1,Thunnus_alalunga-77,2003,1.48
1,Thunnus_alalunga-77,2004,1.43
1,Thunnus_alalunga-77,2005,1.37
1,Thunnus_alalunga-77,2006,1.38
1,Thunnus_alalunga-77,2007,1.39
1,Thunnus_alalunga-77,2008,1.27472830573485
1,Thunnus_alalunga-77,2009,1.30281091756875
1,Thunnus_alalunga-77,2010,1.296387580701
1,Thunnus_albacares-21,2001,0.71
1,Thunnus_albacares-21,2002,0.63
1,Thunnus_albacares-21,2003,0.59
1,Thunnus_albacares-21,2004,0.58
1,Thunnus_albacares-21,2005,0.57
1,Thunnus_albacares-21,2006,0.58
1,Thunnus_albacares-21,2007,0.6
1,Thunnus_albacares-21,2008,0.63
1,Thunnus_albacares-21,2009,0.65
1,Thunnus_albacares-21,2010,0.67
1,Thunnus_albacares-31,2001,0.71
1,Thunnus_albacares-31,2002,0.63
1,Thunnus_albacares-31,2003,0.59
1,Thunnus_albacares-31,2004,0.58
1,Thunnus_albacares-31,2005,0.57
1,Thunnus_albacares-31,2006,0.58
1,Thunnus_albacares-31,2007,0.6
1,Thunnus_albacares-31,2008,0.63
1,Thunnus_albacares-31,2009,0.65
1,Thunnus_albacares-31,2010,0.67
1,Thunnus_albacares-61,2001,0.452764710004097
1,Thunnus_albacares-61,2002,0.442948443812001
1,Thunnus_albacares-61,2003,0.431848743913532
1,Thunnus_albacares-61,2004,0.421920094703867
1,Thunnus_albacares-61,2005,0.419040640117125
1,Thunnus_albacares-61,2006,0.423982372199516
1,Thunnus_albacares-61,2007,0.43191037819254
1,Thunnus_albacares-61,2008,0.443435468243685
1,Thunnus_albacares-61,2009,0.457565966773628
1,Thunnus_albacares-61,2010,0.47121013471977
1,Thunnus_albacares-67,2001,2.12
