rgn_id,sciname,iucn_sid,year,category
1,Isurus oxyrinchus,161749,2012.0,VU
1,Isurus oxyrinchus,161751,2012.0,NT
1,Isurus paucus,60225,2012.0,VU
1,Lamna nasus,11200,2012.0,VU
1,Lamna nasus,39344,2012.0,EN
1,Lepidochelys kempii,11533,2012.0,CR
1,Lepidochelys olivacea,11534,2012.0,VU
1,Megachasma pelagios,39338,2012.0,LC
1,Megaptera novaeangliae,13006,2012.0,LC
1,Prionace glauca,39381,2012.0,NT
1,Rhincodon typus,19488,2012.0,VU
1,Steno bredanensis,20738,2012.0,LC
1,Triaenodon obesus,39384,2012.0,NT
1,Ursus maritimus,22823,2012.0,VU
1,Alopias vulpinus,39339,2011.0,VU
1,Balaena mysticetus,2467,2011.0,LC
1,Balaena mysticetus,2468,2011.0,CD
1,Balaenoptera acutorostrata,2474,2011.0,LC
1,Balaenoptera borealis,2475,2011.0,EN
1,Balaenoptera musculus,2477,2011.0,EN
1,Balaenoptera physalus,2478,2011.0,EN
1,Carcharhinus amblyrhynchos,39365,2011.0,NT
1,Carcharhinus perezi,60217,2011.0,NT
1,Carcharodon carcharias,3855,2011.0,VU
1,Caretta caretta,3897,2011.0,EN
1,Caretta caretta,83652278,2011.0,LC
1,Caretta caretta,84131194,2011.0,LC
1,Cetorhinus maximus,4292,2011.0,VU
1,Cetorhinus maximus,39545,2011.0,EN
1,Chelonia mydas,4615,2011.0,EN
1,Chelonia mydas,16285718,2011.0,LC
1,Dermochelys coriacea,6494,2011.0,CR
1,Dermochelys coriacea,46967807,2011.0,CR
1,Dermochelys coriacea,46967817,2011.0,CR
1,Dermochelys coriacea,46967827,2011.0,LC
1,Eretmochelys imbricata,8005,2011.0,CR
1,Eschrichtius robustus,8097,2011.0,LC
1,Eubalaena glacialis,41712,2011.0,EN
1,Eubalaena japonica,41711,2011.0,EN
1,Eubalaena japonica,133706,2011.0,CR
1,Galeocerdo cuvier,39378,2011.0,NT
1,Isurus oxyrinchus,39341,2011.0,VU
1,Isurus oxyrinchus,161749,2011.0,VU
1,Isurus oxyrinchus,161751,2011.0,NT
1,Isurus paucus,60225,2011.0,VU
1,Lamna nasus,11200,2011.0,VU
1,Lamna nasus,39344,2011.0,EN
1,Lepidochelys kempii,11533,2011.0,CR
1,Lepidochelys olivacea,11534,2011.0,VU
1,Megachasma pelagios,39338,2011.0,LC
1,Megaptera novaeangliae,13006,2011.0,LC
1,Prionace glauca,39381,2011.0,NT
1,Rhincodon typus,19488,2011.0,VU
1,Steno bredanensis,20738,2011.0,LC
1,Triaenodon obesus,39384,2011.0,NT
1,Ursus maritimus,22823,2011.0,VU
1,Alopias vulpinus,39339,2010.0,VU
1,Balaena mysticetus,2467,2010.0,LC
1,Balaena mysticetus,2468,2010.0,CD
1,Balaenoptera acutorostrata,2474,2010.0,LC
1,Balaenoptera borealis,2475,2010.0,EN
1,Balaenoptera musculus,2477,2010.0,EN
1,Balaenoptera physalus,2478,2010.0,EN
1,Carcharhinus amblyrhynchos,39365,2010.0,NT
1,Carcharhinus perezi,60217,2010.0,NT
1,Carcharodon carcharias,3855,2010.0,VU
1,Caretta caretta,3897,2010.0,EN
1,Caretta caretta,83652278,2010.0,LC
1,Caretta caretta,84131194,2010.0,LC
1,Cetorhinus maximus,4292,2010.0,VU
1,Cetorhinus maximus,39545,2010.0,EN
1,Chelonia mydas,4615,2010.0,EN
1,Chelonia mydas,16285718,2010.0,LC
1,Dermochelys coriacea,6494,2010.0,CR
1,Dermochelys coriacea,46967807,2010.0,CR
1,Dermochelys coriacea,46967817,2010.0,CR
1,Dermochelys coriacea,46967827,2010.0,LC
1,Eretmochelys imbricata,8005,2010.0,CR
1,Eschrichtius robustus,8097,2010.0,LC
1,Eubalaena glacialis,41712,2010.0,EN
1,Eubalaena japonica,41711,2010.0,EN
1,Eubalaena japonica,133706,2010.0,CR
1,Galeocerdo cuvier,39378,2010.0,NT
1,Isurus oxyrinchus,39341,2010.0,VU
1,Isurus oxyrinchus,161749,2010.0,VU
1,Isurus oxyrinchus,161751,2010.0,NT
1,Isurus paucus,60225,2010.0,VU
1,Lamna nasus,11200,2010.0,VU
1,Lamna nasus,39344,2010.0,EN
1,Lepidochelys kempii,11533,2010.0,CR
1,Lepidochelys olivacea,11534,2010.0,VU
1,Megachasma pelagios,39338,2010.0,LC
1,Megaptera novaeangliae,13006,2010.0,LC
1,Prionace glauca,39381,2010.0,NT
1,Rhincodon typus,19488,2010.0,VU
1,Steno bredanensis,20738,2010.0,LC
1,Triaenodon obesus,39384,2010.0,NT
1,Ursus maritimus,22823,2010.0,VU
1,Alopias vulpinus,39339,2009.0,VU
1,Balaena mysticetus,2467,2009.0,LC
1,Balaena mysticetus,2468,2009.0,CD
1,Balaenoptera acutorostrata,2474,2009.0,LC
1,Balaenoptera borealis,2475,2009.0,EN
1,Balaenoptera musculus,2477,2009.0,EN
1,Balaenoptera physalus,2478,2009.0,EN
1,Carcharhinus amblyrhynchos,39365,2009.0,NT
1,Carcharhinus perezi,60217,2009.0,NT
1,Carcharodon carcharias,3855,2009.0,VU
1,Caretta caretta,3897,2009.0,EN
1,Caretta caretta,83652278,2009.0,LC
1,Caretta caretta,84131194,2009.0,LC
1,Cetorhinus maximus,4292,2009.0,VU
1,Cetorhinus maximus,39545,2009.0,EN
1,Chelonia mydas,4615,2009.0,EN
1,Chelonia mydas,16285718,2009.0,LC
1,Dermochelys coriacea,6494,2009.0,CR
1,Dermochelys coriacea,46967807,2009.0,CR
1,Dermochelys coriacea,46967817,2009.0,CR
1,Dermochelys coriacea,46967827,2009.0,LC
1,Eretmochelys imbricata,8005,2009.0,CR
1,Eschrichtius robustus,8097,2009.0,LC
1,Eubalaena glacialis,41712,2009.0,EN
1,Eubalaena japonica,41711,2009.0,EN
1,Eubalaena japonica,133706,2009.0,CR
1,Galeocerdo cuvier,39378,2009.0,NT
1,Isurus oxyrinchus,39341,2009.0,VU
1,Isurus oxyrinchus,161749,2009.0,VU
1,Isurus oxyrinchus,161751,2009.0,NT
1,Isurus paucus,60225,2009.0,VU
